SubscriptionMonth,Country,TrackName,total_subscriptions,avg_progression,diploma_rate,estimated_revenue,churn_rate
2024-06,Senegal,Digital Marketing Course - Meta Certified,6,84.35,50.0,600.0,16.67
2024-06,Senegal,Graphic Design - Adobe Certified*,9,70.97,55.56,900.0,33.33
2024-06,Senegal,Python Essentials*,11,64.85,27.27,1100.0,27.27
2024-06,Senegal,Social Media Marketing Essentials*,29,92.94,82.76,2900.0,10.34
2024-06,Senegal,Web Development Essentials*,20,87.35,65.0,2000.0,10.0
2024-06,Tunisia,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,2,93.24,100.0,200.0,0.0
2024-06,Tunisia,Cybersecurity - Comptia Security + Certified,1,52.94,0.0,100.0,0.0
2024-06,Tunisia,Data Analytics - Microsoft Power BI Certified*,11,98.64,100.0,1100.0,0.0
2024-06,Tunisia,Digital Marketing Course - Meta Certified,10,64.39,60.0,1000.0,40.0
2024-06,Tunisia,Digital Marketing: Social Media Management - Summer Academy,7,88.44,85.71,700.0,14.29
2024-06,Tunisia,Front End Developer - React JS Certified,2,72.13,50.0,200.0,50.0
2024-06,Tunisia,Graphic Design - Adobe Certified*,21,91.9,80.95,2100.0,9.52
2024-06,Tunisia,Introduction to Artificial Intelligence - Summer Academy,3,100.0,100.0,300.0,0.0
2024-06,Tunisia,Introduction to Game Development -  Junior Tech Academy,40,98.94,82.5,4000.0,0.0
2024-06,Tunisia,Introduction to Python -  Junior Tech Academy,139,98.15,93.53,13900.0,1.44
2024-06,Tunisia,Introduction to ReactJS- Summer Academy,6,100.0,100.0,600.0,0.0
2024-06,Tunisia,Introduction to Web Development  -  Junior Tech Academy,78,99.44,100.0,7800.0,0.0
2024-06,Tunisia,Python Essentials*,11,86.52,81.82,1100.0,18.18
2024-06,Tunisia,Scratch & App Inventor For kids,3,100.0,100.0,300.0,0.0
2024-06,Tunisia,Social Media Marketing Essentials*,8,100.0,100.0,800.0,0.0
2024-06,Tunisia,Software Testing - ISTQB Certified*,2,100.0,100.0,200.0,0.0
2024-06,Tunisia,UX & UI Design*,5,88.83,80.0,500.0,20.0
2024-06,Tunisia,Web Development Essentials*,24,85.76,79.17,2400.0,16.67
2024-07,Algeria,Introduction to Python -  Junior Tech Academy,21,99.53,100.0,2100.0,0.0
2024-07,Algeria,Introduction to Web Development  -  Junior Tech Academy,9,98.43,100.0,900.0,0.0
2024-07,Algeria,Python Essentials*,9,99.67,88.89,900.0,0.0
2024-07,Algeria,Scratch & App Inventor For kids,9,91.46,100.0,900.0,0.0
2024-07,Côte d'Ivoire,Digital Marketing Course - Meta Certified,3,53.57,0.0,300.0,66.67
2024-07,Côte d'Ivoire,Digital Marketing: Social Media Management - Summer Academy,2,50.0,50.0,200.0,50.0
2024-07,Côte d'Ivoire,Formation bureautique,3,100.0,100.0,300.0,0.0
2024-07,Côte d'Ivoire,Introduction to Python -  Junior Tech Academy,5,61.9,0.0,500.0,20.0
2024-07,Côte d'Ivoire,Introduction to Web Development  -  Junior Tech Academy,6,86.0,50.0,600.0,16.67
2024-07,Côte d'Ivoire,Python Essentials*,2,81.13,0.0,200.0,0.0
2024-07,Côte d'Ivoire,Social Media Marketing Essentials*,11,64.67,36.36,1100.0,27.27
2024-07,Côte d'Ivoire,Web Development Essentials*,3,86.5,66.67,300.0,0.0
2024-07,Egypt,Graphic Design - Adobe Certified*,2,50.84,0.0,200.0,50.0
2024-07,Egypt,Software Developer Bootcamp*,6,47.4,16.67,600.0,66.67
2024-07,Morocco,Digital Marketing: Social Media Management - Summer Academy,1,9.52,0.0,100.0,100.0
2024-07,Morocco,Introduction to Python -  Junior Tech Academy,4,100.0,25.0,400.0,0.0
2024-07,Morocco,Introduction to Web Development  -  Junior Tech Academy,8,98.96,100.0,800.0,0.0
2024-07,Morocco,Social Media Marketing Essentials*,5,70.94,60.0,500.0,40.0
2024-07,Morocco,Web Development Essentials*,3,98.33,100.0,300.0,0.0
2024-07,Nigeria,Digital Marketing: Social Media Management - Summer Academy,2,93.48,100.0,200.0,0.0
2024-07,Nigeria,Front End Developer - React JS Certified,3,100.0,100.0,300.0,0.0
2024-07,Nigeria,Introduction to Web Development  -  Junior Tech Academy,12,94.24,83.33,1200.0,8.33
2024-07,Nigeria,Scratch & App Inventor For kids,2,100.0,100.0,200.0,0.0
2024-07,Senegal,Digital Marketing: Social Media Management - Summer Academy,7,98.14,85.71,700.0,0.0
2024-07,Senegal,Graphic Design With Adobe Illustrator - Summer Academy,4,98.28,100.0,400.0,0.0
2024-07,Senegal,Introduction to Python -  Junior Tech Academy,18,96.77,94.44,1800.0,0.0
2024-07,Senegal,Introduction to Web Development  -  Junior Tech Academy,16,90.47,87.5,1600.0,12.5
2024-07,Senegal,Social Media Marketing Essentials*,8,79.72,62.5,800.0,25.0
2024-07,Senegal,Web Development Essentials*,8,78.65,75.0,800.0,25.0
2024-07,Tunisia,Cyber Security Bootcamp: Certified CompTIA Security+ 701*,5,97.3,100.0,500.0,0.0
2024-07,Tunisia,Data Analytics - Microsoft Power BI Certified*,16,70.65,37.5,1600.0,31.25
2024-07,Tunisia,Data Scientist Bootcamp*,2,99.16,100.0,200.0,0.0
2024-07,Tunisia,Digital Marketing : Meta Certified,6,61.1,50.0,600.0,50.0
2024-07,Tunisia,Digital Marketing: Social Media Management - Summer Academy,12,90.58,91.67,1200.0,8.33
2024-07,Tunisia,Front End Developer - React JS Certified,3,88.97,66.67,300.0,0.0
2024-07,Tunisia,Graphic Design - Adobe Certified*,6,96.64,100.0,600.0,0.0
2024-07,Tunisia,Graphic Design With Adobe Illustrator - Summer Academy,16,99.02,100.0,1600.0,0.0
2024-07,Tunisia,Introduction to Artificial Intelligence - Summer Academy,6,100.0,100.0,600.0,0.0
2024-07,Tunisia,Introduction to Game Development -  Junior Tech Academy,134,98.61,94.03,13400.0,0.75
2024-07,Tunisia,Introduction to Python -  Junior Tech Academy,260,98.67,98.46,26000.0,0.77
2024-07,Tunisia,Introduction to ReactJS- Summer Academy,6,83.33,83.33,600.0,16.67
2024-07,Tunisia,Introduction to Web Development  -  Junior Tech Academy,109,98.53,97.25,10900.0,0.92
2024-07,Tunisia,Scratch & App Inventor For kids,30,94.62,96.67,3000.0,3.33
2024-07,Tunisia,Software Testing - ISTQB Certified*,7,85.71,85.71,700.0,14.29
2024-07,Tunisia,UX & UI Design*,2,100.0,100.0,200.0,0.0
2024-07,Tunisia,Unity for Kids,2,100.0,100.0,200.0,0.0
2024-07,Tunisia,Web Development Essentials*,2,100.0,100.0,200.0,0.0
2024-08,Algeria,Introduction to Python -  Junior Tech Academy,25,99.6,100.0,2500.0,0.0
2024-08,Algeria,Introduction to Web Development  -  Junior Tech Academy,10,99.0,100.0,1000.0,0.0
2024-08,Algeria,Python Essentials*,3,99.0,100.0,300.0,0.0
2024-08,Algeria,Web Development Essentials*,9,97.78,100.0,900.0,0.0
2024-08,Côte d'Ivoire,Digital Marketing: Social Media Management - Summer Academy,2,100.0,100.0,200.0,0.0
2024-08,Côte d'Ivoire,Introduction to Python -  Junior Tech Academy,5,76.72,20.0,500.0,20.0
2024-08,Côte d'Ivoire,Introduction to Web Development  -  Junior Tech Academy,4,98.75,25.0,400.0,0.0
2024-08,Côte d'Ivoire,Python Essentials*,4,57.43,50.0,400.0,50.0
2024-08,Côte d'Ivoire,Web Development Essentials*,2,97.5,100.0,200.0,0.0
2024-08,Morocco,Digital Marketing: Social Media Management - Summer Academy,2,100.0,100.0,200.0,0.0
2024-08,Morocco,Introduction to Python -  Junior Tech Academy,2,60.02,50.0,200.0,50.0
2024-08,Morocco,Introduction to Web Development  -  Junior Tech Academy,3,71.11,33.33,300.0,33.33
2024-08,Morocco,Python Essentials*,4,37.5,0.0,400.0,50.0
2024-08,Morocco,Social Media Marketing Essentials*,6,53.46,33.33,600.0,50.0
2024-08,Morocco,Software Testing - ISTQB Certified*,2,87.28,100.0,200.0,0.0
2024-08,Morocco,Web Development Essentials*,7,52.65,28.57,700.0,57.14
2024-08,Nigeria,Introduction to Web Development  -  Junior Tech Academy,4,100.0,100.0,400.0,0.0
2024-08,Nigeria,Python Essentials*,8,87.13,87.5,800.0,12.5
2024-08,Nigeria,Scratch & App Inventor For kids,7,100.0,57.14,700.0,0.0
2024-08,Nigeria,Software Testing - ISTQB Certified*,2,99.08,100.0,200.0,0.0
2024-08,Nigeria,Web Development Essentials*,3,99.45,100.0,300.0,0.0
2024-08,Senegal,Digital Marketing: Social Media Management - Summer Academy,9,72.43,55.56,900.0,22.22
2024-08,Senegal,Graphic Design With Adobe Illustrator - Summer Academy,5,84.36,80.0,500.0,20.0
2024-08,Senegal,Introduction to Python -  Junior Tech Academy,22,74.17,36.36,2200.0,18.18
2024-08,Senegal,Introduction to Web Development  -  Junior Tech Academy,12,91.25,91.67,1200.0,8.33
2024-08,Senegal,Python Essentials*,10,75.04,50.0,1000.0,20.0
2024-08,Senegal,Social Media Marketing Essentials*,17,91.68,88.24,1700.0,11.76
2024-08,Senegal,Web Development Essentials*,7,97.86,100.0,700.0,0.0
2024-08,Tunisia,Data Analytics - Microsoft Power BI Certified*,3,74.59,66.67,300.0,33.33
2024-08,Tunisia,Digital Marketing: Social Media Management - Summer Academy,12,90.38,75.0,1200.0,8.33
2024-08,Tunisia,Graphic Design With Adobe Illustrator - Summer Academy,10,96.51,90.0,1000.0,0.0
2024-08,Tunisia,Introduction to Game Development -  Junior Tech Academy,80,97.82,96.25,8000.0,1.25
2024-08,Tunisia,Introduction to Python -  Junior Tech Academy,229,96.38,92.14,22900.0,3.06
2024-08,Tunisia,Introduction to ReactJS- Summer Academy,3,99.37,66.67,300.0,0.0
2024-08,Tunisia,Introduction to Web Development  -  Junior Tech Academy,93,93.04,91.4,9300.0,6.45
2024-08,Tunisia,Scratch & App Inventor For kids,13,100.0,100.0,1300.0,0.0
2024-08,Tunisia,Software Testing - ISTQB Certified*,11,81.3,81.82,1100.0,18.18
2024-09,Morocco,Formation bureautique,2,50.0,50.0,200.0,50.0
2024-09,Nigeria,Software Developer Bootcamp*,12,99.96,100.0,1200.0,0.0
2024-09,Senegal,Introduction to Python -  Junior Tech Academy,10,86.06,40.0,1000.0,10.0
2024-09,Senegal,Introduction to Web Development  -  Junior Tech Academy,7,98.1,100.0,700.0,0.0
2024-09,Tunisia,Software Testing - ISTQB Certified*,2,73.21,100.0,200.0,0.0
2024-09,Tunisia,Web Development Essentials*,2,100.0,100.0,200.0,0.0
